,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
vintage_years,85340.0,5.96949955551182,4.2188356186198925,0.0149158473087077,0.4428553504492089,1.061357356480332,2.8652224078964785,5.017037189496902,8.047516286697755,14.142498007591067,19.75365565938865,40.0
stated_annual_revenue,85340.0,2271944.121825694,1585028.349984735,156537.26653282729,476918.2813894665,700943.872325074,1225856.1520352575,1855005.6018768311,2829689.6905214014,5258752.588196411,8147318.036850396,43450535.52593251
stated_time_in_business,85340.0,6.401269574191247,4.171906872616764,0.0325493957578754,0.7796927365362427,1.5198262740201578,3.3534732657430837,5.478827823299316,8.463405105517738,14.44952942215092,19.983046110714195,40.428452835804585
requested_amount,85340.0,24923.546799528667,6153.060368011584,7590.460997142505,12598.20102373296,15313.255283583172,20355.565509115408,24636.00728261744,29190.051375483985,35498.057082693536,39430.07323392514,45902.52126582247
observed_monthly_revenue_avg_3mo,54887.0,191016.91003685346,130599.32224864293,14995.92218215328,40938.07820573693,59728.848660806514,103940.55496477018,156807.8462837691,237421.29813728688,440088.17082083254,670941.8423395717,2080158.4215988151
observed_revenue_trend_3mo,54887.0,0.15081943231893338,0.8218514164051253,-2.1272458218935566,-1.3275667850134776,-1.0231051660441461,-0.527902948383697,0.0135993639385741,0.8627007636258517,1.4857812290065961,1.8670916813637843,2.799476997547532
observed_revenue_volatility,54887.0,1.1330619720491175,0.6359682385229445,0.0879174842251429,0.2640691740542396,0.39270422221692625,0.6879186331479311,0.9957897451917468,1.423170341817807,2.3167373247052545,3.2624049593789772,8.157011842822948
observed_cash_balance_p10,54887.0,459.9166072396399,3038.4632808671995,-12372.983012950775,-6476.959182814254,-4509.622389720851,-1594.6573773489824,429.60595590798783,2495.8515167488627,5492.341322910819,7710.982094080218,13611.289833906403
payroll_regularity_score,54887.0,0.5137674572759833,0.19577673091682068,0.0,0.11660123578651758,0.20140973170591056,0.36413415222091944,0.5098289803921949,0.661584738077967,0.8372225076326703,0.9250615851160153,1.0
aggregate_credit_utilization,85340.0,0.5013797514485339,0.23675901014960196,0.0023050757198019,0.05360154248912952,0.1193790842442835,0.30961382726242204,0.5032482917512212,0.6941815496441672,0.8773778431073397,0.9403722262291686,0.9926941859495332
existing_debt_obligations,85340.0,9469.817773121986,5141.993497759237,969.9978854899822,2538.835077466376,3588.633298421296,5892.327404683498,8304.771854215123,11749.035271725461,19213.627066399786,27021.201001687827,69238.66527980602
days_since_last_external_decline,42505.0,81.90027669992915,98.68586845799535,0.0001846478338466,0.6339524232317064,3.368479926324402,19.948032746849705,49.665866200221416,106.83553194375928,268.1941550336757,474.1169249803011,1455.4586563042817
bookkeeping_recency_days,85340.0,22.759970132752173,10.554151781430487,1.4421617893683916,6.366362488777952,9.276200604448386,15.15687528536798,20.942678670479992,28.323550948270846,42.501890407790384,56.212979150081885,108.2120339625581
invoice_payment_delinquency_rate,85340.0,0.21561546906688794,0.14568743170377718,0.0031740684742802,0.02257839352525783,0.04362602534011468,0.10385315345578555,0.1812985626470266,0.293728526459225,0.5075881713029009,0.6593090651813562,0.9119364326899564
prior_loans_amount_total,85340.0,3578.2924358809123,6271.95505923202,0.0,0.0,0.0,0.0,0.0,7101.561542665395,15646.870448760474,27155.63480825922,91408.58319992128
days_since_last_inquiry_elsewhere,42735.0,40.68354535078458,49.45676360839832,0.0005547482419925,0.31870554030646137,1.7269443415568115,9.980261393286316,24.71426762717374,52.92759377550945,133.60215422630455,234.66302686705106,1054.5708284393963
requested_amount_to_observed_revenue,85340.0,0.014425500647040164,0.007512691488077019,0.000990785433494,0.003818810251552996,0.005478081660900819,0.00912631109122545,0.012820700573118151,0.01800701343498105,0.02866426027668656,0.03941082863154695,0.1020583162878942
prior_underwriter_score,85340.0,0.5021216601301093,0.39105880412173744,9.753100732613926e-08,0.00019761481935185802,0.0023268171677540694,0.07776281576541186,0.5042531360633391,0.9261737098371502,0.9978402498974357,0.9998266802646533,0.9999998718065056
prior_approved_amount,51722.0,23421.817215659732,5903.983107437908,7590.460997142505,11946.5245694155,14392.053429500362,19033.247137541126,23038.04844660172,27455.446947185097,33776.75238412773,37738.42299637167,45579.76613599861
days_to_default,9024.0,43.0772384751773,29.15714884746259,3.0,3.0,6.0,19.0,37.0,58.0,90.0,90.0,90.0
days_to_full_repayment,42698.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
final_recovered_amount,9024.0,2455.9733361631143,2539.153413481786,0.0,0.0,0.0,121.25007533343444,1828.4197080596798,3898.8664685997765,7414.6377334839235,10322.869902414022,17663.171808039544
observed_overdraft_count_3mo,54887.0,0.45795907956346676,0.7209336312963325,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0
recent_inquiries_count_6mo,85340.0,0.6001171783454418,0.8130228110775307,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0
account_age_days,85340.0,1130.4452542770096,836.7116632677418,200.0,200.0,200.0,468.0,967.0,1580.0,2724.0,3768.6100000000006,7773.0
platform_active_months,85340.0,5.797562690414812,4.475316676692135,0.0,0.0,0.0,2.0,5.0,9.0,14.0,17.0,26.0
prior_loans_count,85340.0,0.3955706585423014,0.6358806125544113,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,6.0
prior_loans_default_count,85340.0,0.04396531520974924,0.20797001676948146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
multi_lender_inquiry_count_30d,85340.0,0.4500468713381767,0.6831916558093581,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0
repeat_application_count,85340.0,0.2305718303257558,0.49419269092289375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0
default_flag,51722.0,0.17447121147674105,0.3795178422828193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
